Trial,Column,overall,correctness,completeness,category,ground_truth,predicted,reason
NCT00268476_Attard_STAMPEDE_Lancet'23,Docetaxel administration - N (%) | Treatment,0.75,0.5,1.0,numeric_tolerance,Abiraterone + Enzalutamide trial: 41 (9%),"Abiraterone trial (SOC + abiraterone): 0 (<1%), Abiraterone and enzalutamide trial (SOC + enzalutamide and abiraterone): 41 (9%)","All GT numbers are captured in the prediction. However, the prediction has extra wrong numbers (0, 1). Correctness: 0.5 (Some predicted numbers match, some don't). Completeness: 1.0 (All GT numbers are captured)."
NCT00268476_Attard_STAMPEDE_Lancet'23,PS - N (%) | 0 | Control,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 370 (74%) Abiraterone + Enzalutamide trial: 315 (69%),370 (74%),The numbers 370 and 74 in Pred match the first two numbers in GT. The other two numbers in GT are not captured.
NCT00268476_Attard_STAMPEDE_Lancet'23,Median Follow-Up Duration (mo),0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 96 months Abiraterone + Enzalutamide trial: 72 months,96,GT contains two values: 96 and 72. Pred contains one value: 96. 96 from Pred matches 96 from GT. Correctness: 1.0 (The predicted number matches a number in GT) Completeness: 0.5 (One of the two GT numbers is captured in Pred)
NCT00268476_Attard_STAMPEDE_Lancet'23,Median Age (years) | Treatment,0.75,1.0,0.5,numeric_tolerance,Abiraterone trial: 67 Abiraterone + Enzalutamide trial: 69,69,GT contains two values: 67 and 69. Pred contains one value: 69. 69 from Pred matches 69 from GT. Correctness: 1.0 (The predicted number matches a number in GT) Completeness: 0.5 (One of the two GT numbers is captured in Pred)
NCT00268476_Attard_STAMPEDE_Lancet'23,Docetaxel administration - N (%) | Control,0.0,0.0,0.0,numeric_tolerance,Abiraterone + Enzalutamide trial: 39 (9%),"Abiraterone trial (SOC): 0, Abiraterone and enzalutamide trial (SOC): 39 (9%)",Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Gleason score - N (%) | ≤ 7 | Control,0.0,0.0,0.0,numeric_tolerance,Abiraterone trial: 118 (24%) Abiraterone + Enzalutamide trial: 92 (20%),118 (24%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Gleason score - N (%) | ≥ 8 | Control,0.0,0.0,0.0,numeric_tolerance,Abiraterone trial: 374 (75%) Abiraterone + Enzalutamide trial: 345 (76%),374 (75%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Metastases - N (%) | Nodal | Control,0.0,0.0,0.0,numeric_tolerance,,Abiraterone trial: 291 (58%); Abiraterone and enzalutamide trial: 278 (61%),Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Race - N (%) | Black or African American | Control,0.0,0.0,0.0,numeric_tolerance,,,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Median PFS (mo) | High volume | Treatment,0.0,0.0,0.0,numeric_tolerance,,,Parsing failed: Expecting value: line 1 column 1 (char 0)
NCT00268476_Attard_STAMPEDE_Lancet'23,Add-on Treatment,0.75,0.5,1.0,structured_text,Abiraterone ± Enzalutamide,"Abiraterone acetate plus prednisolone, or abiraterone acetate plus prednisolone and enzalutamide (all added to standard androgen deprivation therapy)","The prediction includes Abiraterone and Enzalutamide, but also adds prednisolone. The ""±"" in GT implies either Abiraterone alone or Abiraterone with Enzalutamide. The prediction includes both, but also includes prednisolone which is not explicitly mentioned in the GT as part of the add-on treatment."
NCT00268476_Attard_STAMPEDE_Lancet'23,COE_RCT_IND_OVERALL_RJ,0.0,0.0,0.0,structured_text,Yes,,Prediction is empty while GT is not.
NCT00268476_Attard_STAMPEDE_Lancet'23,Secondary Endpoint(s),0.75,0.5,1.0,structured_text,Prostate cancer–specific survival Failure-free survival Progression-free survival Metastatic progression-free survival Symptomatic skeletal-related events Safety / adverse events,"Secondary outcomes were prostate cancer-specific survival (defined as the time from randomisation to death from prostate cancer); failure-free survival (defined as biochemical failure, local or lymph ","The prediction includes all endpoints listed in the GT and provides definitions. It also includes ""cost-effectiveness of research treatment"" which is not in the GT."
NCT00268476_Attard_STAMPEDE_Lancet'23,Class of Agent in Treatment Arm 1,0.75,1.0,0.5,structured_text,Androgen biosynthesis inhibitor (abiraterone) + corticosteroid,Androgen biosynthesis inhibitor,"The prediction only captures ""Androgen biosynthesis inhibitor"" and misses ""+ corticosteroid""."
NCT00268476_Attard_STAMPEDE_Lancet'23,Type of Therapy,0.25,0.5,0.0,structured_text,Hormonal / endocrine therapy,"Abiraterone acetate plus prednisolone with or without enzalutamide for patients with metastatic prostate cancer starting androgen deprivation therapy (specifically, treatment arms: standard of care [a","The prediction contains information about specific drugs and regimens, which are related to hormonal therapy, but it's far more detailed than the general category provided in the GT. While the prediction *implies* hormonal therapy, it doesn't explicitly state it as the primary type of therapy. The G"
NCT00268476_Attard_STAMPEDE_Lancet'23,Trial,0.75,1.0,0.5,structured_text,STAMPEDE abiraterone trial STAMPEDE abiraterone + enzalutamide trial,Abiraterone trial,The prediction only identifies one of the two trials.
NCT00268476_Attard_STAMPEDE_Lancet'23,Control Arm,0.75,1.0,0.5,structured_text,"Standard of care (androgen deprivation therapy ± docetaxel, depending on protocol amendment)",Standard of care,"The prediction correctly identifies the core component of the control arm, 'Standard of care'. The GT provides more detail, but the prediction captures the essential information."
NCT00268476_James_STAMPEDE_IJC'22,Control Arm - N,0.75,0.5,1.0,numeric_tolerance,502 (SOC-alone),"n = 502, n = 501","The ground truth has one number (502). The prediction has two numbers (502, 501). The number 502 in the prediction matches the ground truth. However, the prediction also contains an incorrect number (501). Therefore, correctness is 0.5. The ground truth number 502 is captured in the prediction. Ther"
NCT00268476_James_STAMPEDE_IJC'22,Docetaxel administration - N (%) | Control,0.0,0.0,0.0,numeric_tolerance,,32%,"The ground truth is empty, but the prediction is ""32%"". Since one is empty and the other is not, both correctness and completeness are 0.0."
NCT00268476_James_STAMPEDE_IJC'22,Docetaxel administration - N (%) | Treatment,0.0,0.0,0.0,numeric_tolerance,,40%,"The ground truth is empty, but the prediction is ""40%"". Since one is empty and the other is not, both correctness and completeness are 0.0."
NCT00268476_James_STAMPEDE_IJC'22,Median Follow-Up Duration (mo),0.75,1.0,0.5,numeric_tolerance,73 months (6.1 years),73,"The ground truth contains two numbers: 73 and 6.1. The prediction contains only 73. The number 73 in the prediction matches the number 73 in the ground truth. Since only one of the two numbers in GT is captured in Pred, completeness is 0.5. Since the number in Pred matches a number in GT, correctnes"
NCT00268476_James_STAMPEDE_IJC'22,Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,0.0,0.0,0.0,numeric_tolerance,16% (at 4 years post-randomisation),20 (7%),"GT has ""16%"". Pred has ""20"" and ""7%"". ""20"" is not in GT. ""7%"" does not match ""16%""."
NCT00268476_James_STAMPEDE_IJC'22,Adverse Events - N (%) | Treatment-related Grade 5 | Control,0.0,0.0,0.0,numeric_tolerance,0 (no grade 4 or 5 at 2 years; grade 5 not reported; explicitly “no grade 4 or 5” at 2y),,"GT has ""0"". Pred is empty."
NCT00268476_James_STAMPEDE_IJC'22,Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,0.0,0.0,0.0,numeric_tolerance,16% (at 4 years post-randomisation),12 (9%),"GT has ""16%"". Pred has ""12"" and ""9%"". ""12"" is not in GT. ""9%"" does not match ""16%""."
NCT00268476_James_STAMPEDE_IJC'22,Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,0.0,0.0,0.0,numeric_tolerance,0 (no grade 4 or 5 at 2 years; grade 5 not reported; explicitly “no grade 4 or 5” at 2y),,"GT has ""0"". Pred is empty."
NCT00268476_James_STAMPEDE_IJC'22,Median OS (mo) | Overall | Control,0.665,1.0,0.33,numeric_tolerance,"46 months (IQR 25, 92)",46,"The prediction '46' matches the GT '46'. Completeness: GT has three numbers (46, 25, 92), but Pred only captured one (46). Correctness: The predicted number (46) is correct."
NCT00268476_James_STAMPEDE_IJC'22,Median OS (mo) | Overall | Treatment,0.75,1.0,0.5,numeric_tolerance,"79 months (IQR 33, not reached)",79,"The prediction '79' matches the GT '79'. Completeness: GT has two numbers (79, 33), but Pred only captured one (79). Correctness: The predicted number (79) is correct."
NCT00268476_James_STAMPEDE_IJC'22,Mode of metastases - N (%) | Metachronous | Treatment,0.0,0.0,0.0,numeric_tolerance,,35 (7%),"GT is empty, and Pred has values. Therefore, correctness and completeness are both 0.0."
NCT00268476_James_STAMPEDE_IJC'22,Mode of metastases - N (%) | Metachronous | Control,0.0,0.0,0.0,numeric_tolerance,,27 (5%),"GT is empty, and Pred has values. Therefore, correctness and completeness are both 0.0."
NCT00268476_James_STAMPEDE_IJC'22,Mode of metastases - N (%) | Synchronous | Treatment,0.0,0.0,0.0,numeric_tolerance,,466 (93%),"GT is empty, and Pred has values. Therefore, correctness and completeness are both 0.0."
NCT00268476_James_STAMPEDE_IJC'22,Mode of metastases - N (%) | Synchronous | Control,0.0,0.0,0.0,numeric_tolerance,,475 (95%),"GT is empty, and Pred has values. Therefore, correctness and completeness are both 0.0."
NCT00268476_James_STAMPEDE_IJC'22,Full Pub or Abstract,0.0,0.0,0.0,exact_match,Full Pub,,"GT is ""Full Pub"" and Pred is empty. Empty is equivalent to ""Not reported"", which is different from ""Full Pub""."
NCT00268476_James_STAMPEDE_IJC'22,Quality of Life reported,0.0,0.0,0.0,exact_match,No,Yes,"GT is ""No"" and Pred is ""Yes"". These are direct opposites."
NCT00268476_James_STAMPEDE_IJC'22,Phase,0.0,0.0,0.0,exact_match,3.0,,"GT is ""3.0"" and Pred is empty. Empty is equivalent to ""Not reported"", which is different from ""3.0""."
NCT00268476_James_STAMPEDE_IJC'22,Original/Follow Up,0.0,0.0,0.0,exact_match,Follow Up,,"GT is ""Follow Up"" and Pred is empty. Empty is equivalent to ""Not reported"", which is different from ""Follow Up""."
NCT00268476_James_STAMPEDE_IJC'22,Author,0.0,0.0,0.0,exact_match,Nicholas D. James (et al.),,"GT is ""Nicholas D. James (et al.)"" and Pred is empty. Empty is equivalent to ""Not reported"", which is different from ""Nicholas D. James (et al.)""."
NCT00268476_James_STAMPEDE_IJC'22,Number of Arms Included,0.0,0.0,0.0,exact_match,2 (SOC-alone vs SOC + AAP),,"GT is ""2 (SOC-alone vs SOC + AAP)"" and Pred is empty. Empty is equivalent to ""Not reported"", which is different from ""2 (SOC-alone vs SOC + AAP)""."
NCT00268476_James_STAMPEDE_IJC'22,Reporting by prognostic groups - Y/N | Metachronous,0.0,0.0,0.0,exact_match,,Yes,"GT is empty and Pred is ""Yes"". Empty is equivalent to ""Not reported"", which is different from ""Yes""."
NCT00268476_James_STAMPEDE_IJC'22,NCT,0.0,0.0,0.0,exact_match,NCT00268476,,"GT is ""NCT00268476"" and Pred is empty. Empty is equivalent to ""Not reported"", which is different from ""NCT00268476""."
NCT00268476_James_STAMPEDE_IJC'22,Reporting by prognostic groups - Y/N | Synchronous,0.0,0.0,0.0,exact_match,,Yes,"GT is empty and Pred is ""Yes"". Empty is equivalent to ""Not reported"", which is different from ""Yes""."
