Label,Column Name,Definition,eval_category
PS - N (%),PS - N (%) | 0 | Control,"What number and percentage of patients in the control arm had a performance status of 0 (ECOG, or the equivalent WHO 0-4 scale)? Give count (percent) as reported. Use 'Not reported' if the paper does not give this breakdown for the control arm.",numeric_tolerance
PS - N (%),PS - N (%) | 1-2 | Treatment,"What number and percentage of patients in the treatment arm had a performance status of 1 or 2 (ECOG, or the equivalent WHO 0-4 scale)? Give count (percent). If the paper reports PS 1 and PS 2 separately, add the two counts and give the percentage of the arm. Use 'Not reported' if the paper does not give this breakdown for the treatment arm.",numeric_tolerance
PS - N (%),PS - N (%) | 1-2 | Control,"What number and percentage of patients in the control arm had a performance status of 1 or 2 (ECOG, or the equivalent WHO 0-4 scale)? Give count (percent). If the paper reports PS 1 and PS 2 separately, add the two counts and give the percentage of the arm. Use 'Not reported' if the paper does not give this breakdown for the control arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≤ 7 | Treatment,"What is the number and percentage of patients in the treatment arm with a Gleason score of 7 or lower (≤7)? Categories such as '<8' are equivalent to '≤7' and should be used. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≤ 7 | Control,"What is the number and percentage of patients in the control arm with a Gleason score of 7 or lower (≤7)? If the paper reports categories such as '<8' or '≤7', use that value. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≥ 8 | Treatment,"What is the number and percentage of patients in the treatment arm with a Gleason score of 8 or higher (≥8)? If the paper reports categories such as '≥8' or '>7', use that value. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≥ 8 | Control,"What is the number and percentage of patients in the control arm with a Gleason score of 8 or higher (≥8)? If the paper reports categories such as '≥8' or '>7', use that value. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Liver | Treatment,"What number and percentage of patients in the treatment arm had liver metastases at baseline? Give count (percent). If the paper reports metastatic sites only as M1 substages, use the M1c (visceral) count. Use 'Not reported' if neither is given.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Liver | Control,"What number and percentage of patients in the control arm had liver metastases at baseline? Give count (percent). If the paper reports metastatic sites only as M1 substages, use the M1c (visceral) count. Use 'Not reported' if neither is given.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Lungs | Treatment,"What is the number and percentage of patients in the treatment arm who have lung metastases at baseline? Do not use 'Visceral metastases' counts if 'Lung' is not specifically reported; do not include other visceral sites if lung-specific data is missing. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide a specific count/percentage for lung metastases.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Lungs | Control,"What is the number and percentage of patients in the control arm who have lung metastases at baseline? Do not use 'Visceral metastases' counts if 'Lung' is not specifically reported. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide a specific count/percentage for lung metastases.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Bone | Treatment,"What number and percentage of patients in the treatment arm had bone metastases at baseline? Give count (percent). If the paper reports metastatic sites only as M1 substages, use the M1b (bone) count. Use 'Not reported' if neither is given.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Bone | Control,"What number and percentage of patients in the control arm had bone metastases at baseline? Give count (percent). If the paper reports metastatic sites only as M1 substages, use the M1b (bone) count. Use 'Not reported' if neither is given.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Nodal | Treatment,"What number and percentage of patients in the treatment arm had lymph-node metastases at baseline? Give count (percent) as reported. If the paper reports metastatic sites only as M1 substages, use the M1a (non-regional lymph nodes) count. Use 'Not reported' if neither is given.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Nodal | Control,"What number and percentage of patients in the control arm had lymph-node metastases at baseline? Give count (percent) as reported. If the paper reports metastatic sites only as M1 substages, use the M1a (non-regional lymph nodes) count. Use 'Not reported' if neither is given.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Prostatectomy | Treatment,"What is the number and percentage of patients in the treatment arm who received previous prostatectomy as local therapy? Use 'Not reported' if the paper reports only the total number of patients with previous local therapy without breaking it down by type (e.g., 'Any local therapy') or if prostatectomy is not specified. If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the treatment arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Prostatectomy | Control,"What is the number and percentage of patients in the control arm who received previous prostatectomy as local therapy? Use 'Not reported' if the paper reports only the total number of patients with previous local therapy without breaking it down by type (e.g., 'Any local therapy') or if prostatectomy is not specified. If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the control arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Orchiectomy | Treatment,"What is the number and percentage of patients in the treatment arm who received previous orchiectomy as local therapy? Use 'Not reported' if the paper reports only the total number of patients with previous local therapy without breaking it down by type (e.g., 'Any local therapy') or if orchiectomy is not specified. If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the treatment arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Orchiectomy | Control,"What is the number and percentage of patients in the control arm who received previous orchiectomy as local therapy? Use 'Not reported' if the paper reports only the total number of patients with previous local therapy without breaking it down by type (e.g., 'Any local therapy') or if orchiectomy is not specified. If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the control arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Radiotherapy | Treatment,"What is the number and percentage of patients in the treatment arm who received previous radiotherapy as local therapy? Use 'Not reported' if the paper reports only the total number of patients with previous local therapy without breaking it down by type (e.g., 'Any local therapy') or if radiotherapy is not specified. If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the treatment arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Radiotherapy | Control,"What is the number and percentage of patients in the control arm who received previous radiotherapy as local therapy? Use 'Not reported' if the paper reports only the total number of patients with previous local therapy without breaking it down by type (e.g., 'Any local therapy') or if radiotherapy is not specified. If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the control arm.",numeric_tolerance
Primary Endpoint(s),Primary Endpoint(s),"What are the primary endpoint(s) of the trial? List only the name(s) of the primary endpoint(s) as stated in the paper (e.g., 'Overall survival', 'Progression-free survival'); do not include definitions. If multiple primary endpoints are listed, list all separately. Use 'Not reported' if the primary endpoint is not explicitly stated.",structured_text
Secondary Endpoint(s),Secondary Endpoint(s),"What are the secondary endpoint(s) of the trial? List the name(s) of the secondary endpoint(s) as explicitly labeled 'secondary' in the paper. If multiple secondary endpoints are listed, include all. Use 'Not reported' if the secondary endpoints are not explicitly stated.",structured_text
ORR - N (%),ORR - N (%) | Treatment | Overall,"What number and percentage of patients in the treatment arm had an objective response (complete or partial response) by the trial's response criteria? Give count (percent) as reported. If the paper reports complete and partial responses separately but no overall response, give the sum of the CR and PR counts. Use 'Not reported' if missing.",numeric_tolerance
ORR - N (%),ORR - N (%) | Treatment | CR,"What is the number and percentage of patients in the treatment arm who achieved a complete response (CR)? If reported, include the count and percentage as stated, including '0 (0%)' if that is the reported value. Use 'Not reported' if the CR count/percentage for the treatment arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Treatment | SD,What is the number and percentage of patients in the treatment arm who achieved stable disease (SD)? Include only patients explicitly categorized as SD; do not include patients with 'not evaluable' status even if grouped together in the paper. Use 'Not reported' if the SD count/percentage for the treatment arm is not explicitly stated.,numeric_tolerance
ORR - N (%),ORR - N (%) | Treatment | PD,"What is the number and percentage of patients in the treatment arm who had progressive disease (PD) as their best response? If reported, include the count and percentage as stated. Use 'Not reported' if the PD count/percentage for the treatment arm is not stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Control | Overall,"What number and percentage of patients in the control arm had an objective response (complete or partial response) by the trial's response criteria? Give count (percent) as reported. If the paper reports complete and partial responses separately but no overall response, give the sum of the CR and PR counts. Use 'Not reported' if missing.",numeric_tolerance
ORR - N (%),ORR - N (%) | Control | CR,"What is the number and percentage of patients in the control arm who achieved a complete response (CR)? If reported, include the count and percentage as stated, including '0 (0%)' if that is the reported value. Use 'Not reported' if the CR count/percentage for the control arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Control | SD,What is the number and percentage of patients in the control arm who achieved stable disease (SD)? Include only patients explicitly categorized as SD; do not include patients with 'not evaluable' status even if grouped together in the paper. Use 'Not reported' if the SD count/percentage for the control arm is not explicitly stated.,numeric_tolerance
ORR - N (%),ORR - N (%) | Control | PD,"What is the number and percentage of patients in the control arm who had progressive disease (PD) as their best response? If reported, include the count and percentage as stated. Use 'Not reported' if the PD count/percentage for the control arm is not stated.",numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,What number and percentage of patients in the treatment arm had any adverse event of grade 3 or higher (all causes)? Give count (percent). Use 'Not reported' if missing.,numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,What number and percentage of patients in the control arm had any adverse event of grade 3 or higher (all causes)? Give count (percent). Use 'Not reported' if missing.,numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,What number and percentage of patients in the treatment arm had a treatment-related adverse event of grade 3 or higher? Give count (percent). Use 'Not reported' if the paper does not report treatment-related events at this grade.,numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,What number and percentage of patients in the control arm had a treatment-related adverse event of grade 3 or higher? Give count (percent). Use 'Not reported' if the paper does not report treatment-related events at this grade.,numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,"What number and percentage of patients in the treatment arm had a treatment-related grade 5 (fatal) adverse event? Give count (percent). If the paper reports grade 5 events without saying whether they were treatment-related, give that value labelled 'all-cause' (e.g. '12 (2.0%) all-cause'). Use 'Not reported' if grade 5 events are not reported.",structured_text
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 5 | Control,"What number and percentage of patients in the control arm had a treatment-related grade 5 (fatal) adverse event? Give count (percent). If the paper reports grade 5 events without saying whether they were treatment-related, give that value labelled 'all-cause' (e.g. '12 (2.0%) all-cause'). Use 'Not reported' if grade 5 events are not reported.",structured_text
No. of Deaths - N,No. of Deaths - N | Treatment,"What is the number of patients who died in the treatment arm? If reported, include the count as stated. Use 'Not reported' if missing.",exact_match
No. of Deaths - N,No. of Deaths - N | Control,"What is the number of patients who died in the control arm? If reported, include the count as stated. Use 'Not reported' if missing.",exact_match
TTPSA (mo),TTPSA (mo) | Treatment,"What is the median time to PSA progression (TTPSA), in months, of patients in the treatment arm? If reported, include the value as stated. Enter 'Not reported' if the value is not explicitly stated.",numeric_tolerance
