Label,Column Name,Definition,eval_category
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | Synchronous,"Does the paper report efficacy or safety outcomes specifically for the subgroup of patients with synchronous (de novo) metastatic disease? If reported, include 'Yes' and the specific label used in the paper (e.g., 'de novo', 'synchronous'). Use 'Not reported' if the paper does not provide separate results for this subgroup.",structured_text
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | Metachronous,"Does the paper report efficacy or safety outcomes specifically for the subgroup of patients with metachronous (recurrent) metastatic disease? If reported, include 'Yes'. Use 'Not reported' if the paper does not provide separate results for this subgroup.",exact_match
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | High volume,"Does the paper report efficacy or safety outcomes specifically for the subgroup of patients with high-volume disease (as defined by CHAARTED or LATITUDE criteria)? If reported, include 'Yes'. If the paper uses a different definition or does not use volume stratification, include 'No' with a brief note (e.g., 'CHAARTED volume not used'). Use 'Not reported' if it is unclear whether volume was assessed.",structured_text
Reporting by prognostic groups - Y/N,Reporting by prognostic groups - Y/N | Low volume,"Does the paper report efficacy or safety outcomes specifically for the subgroup of patients with low-volume disease (as defined by CHAARTED or LATITUDE criteria)? If reported, include 'Yes'. If the paper does not use volume stratification, include 'No'. Use 'Not reported' if it is unclear.",exact_match
Mode of metastases - N (%),Mode of metastases - N (%) | Synchronous | Treatment,"What is the count and percentage of patients in the treatment arm who had synchronous (de novo) metastatic disease at diagnosis? Include the value as stated in the paper (e.g., '558 (85.7%)'). If the paper uses a different label for synchronous disease (e.g., 'M1 at diagnosis'), use that label. Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Mode of metastases - N (%),Mode of metastases - N (%) | Synchronous | Control,"What is the count and percentage of patients in the control arm who had synchronous (de novo) metastatic disease at diagnosis? Include the value as stated in the paper (e.g., '566 (86.5%)'). Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Mode of metastases - N (%),Mode of metastases - N (%) | Metachronous | Treatment,"What is the count and percentage of patients in the treatment arm who had metachronous (recurrent) metastatic disease? Include the value as stated in the paper (e.g., '86 (13.2%)'). If the paper uses a different label (e.g., 'M0 at diagnosis' implying recurrence later, or 'Recurrent disease'), use that label. Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Mode of metastases - N (%),Mode of metastases - N (%) | Metachronous | Control,"What is the count and percentage of patients in the control arm who had metachronous (recurrent) metastatic disease? Include the value as stated in the paper (e.g., '82 (12.5%)'). Use 'Not reported' if the count/percentage is not available.",numeric_tolerance
Volume of disease - N (%),Volume of disease - N (%) | High | Treatment,"What is the count and percentage of patients in the treatment arm with high-volume disease (as defined by CHAARTED or LATITUDE criteria)? Include the value as stated. If the paper does not use these definitions, include 'Not reported' with a note (e.g., 'CHAARTED/LATITUDE definitions not used').",structured_text
Volume of disease - N (%),Volume of disease - N (%) | High | Control,"What is the count and percentage of patients in the control arm with high-volume disease (as defined by CHAARTED or LATITUDE criteria)? Include the value as stated. If the paper does not use these definitions, include 'Not reported' with a note.",structured_text
Trial,Trial,"What is the name of the trial? Include the trial acronym or full name as stated in the paper (e.g., 'ARASENS'). Use 'Not reported' if the trial name is not identifiable.",exact_match
Volume of disease - N (%),Volume of disease - N (%) | Low | Control,"What is the count and percentage of patients in the control arm with low-volume disease (as defined by CHAARTED or LATITUDE criteria)? Include the value as stated. If the paper does not use these definitions, include 'Not reported' with a note.",structured_text
Docetaxel administration - N (%),Docetaxel administration - N (%) | Treatment,"What is the number and percentage of patients in the treatment arm who received docetaxel? If the trial protocol mandates docetaxel for all patients in the treatment arm (i.e., it is part of the arm definition), report the total number of randomized patients in that arm and 100%. If the paper reports a specific count of patients who actually received the drug (e.g., in a safety population or per-protocol analysis), use that count and its percentage relative to the randomized arm size. Use 'Not reported' if the paper does not state whether docetaxel was administered or the number of patients receiving it.",numeric_tolerance
Docetaxel administration - N (%),Docetaxel administration - N (%) | Control,"What is the number and percentage of patients in the control arm who received docetaxel? If the trial protocol mandates docetaxel for all patients in the control arm (i.e., it is part of the arm definition), report the total number of randomized patients in that arm and 100%. If the paper reports a specific count of patients who actually received the drug, use that count and its percentage relative to the randomized arm size. Use 'Not reported' if the paper does not state whether docetaxel was administered or the number of patients receiving it.",numeric_tolerance
Median Age (years),Median Age (years) | Treatment,"What is the median age, in years, of patients in the treatment arm? Include the interquartile range (IQR) or range if reported alongside the median. If only the median is reported, include only the median. Use 'Not reported' if the median age for the treatment arm is not stated.",numeric_tolerance
Median Age (years),Median Age (years) | Control,"What is the median age, in years, of patients in the control arm? Include the interquartile range (IQR) or range if reported alongside the median. If only the median is reported, include only the median. Use 'Not reported' if the median age for the control arm is not stated.",numeric_tolerance
Race - N (%),Race - N (%) | White | Treatment,"What is the number and percentage of patients identified as White in the treatment arm? If reported, include the count and percentage as stated (e.g., '345 (53.0%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | White | Control,"What is the number and percentage of patients identified as White in the control arm? If reported, include the count and percentage as stated (e.g., '333 (50.9%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Black or African American | Treatment,"What is the number and percentage of patients identified as Black or African American in the treatment arm? If reported, include the count and percentage as stated (e.g., '26 (4.0%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Black or African American | Control,"What is the number and percentage of patients identified as Black or African American in the control arm? If reported, include the count and percentage as stated (e.g., '28 (4.3%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Asian | Treatment,"What is the number and percentage of patients identified as Asian in the treatment arm? If reported, include the count and percentage as stated (e.g., '230 (35.3%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Asian | Control,"What is the number and percentage of patients identified as Asian in the control arm? If reported, include the count and percentage as stated (e.g., '245 (37.5%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Nat. Hawaiian or Pac. Islander | Treatment,"What is the number and percentage of patients identified as Native Hawaiian or Pacific Islander in the treatment arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Nat. Hawaiian or Pac. Islander | Control,"What is the number and percentage of patients identified as Native Hawaiian or Pacific Islander in the control arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Amer. Indian or Alaska Nat. | Treatment,"What is the number and percentage of patients identified as American Indian or Alaska Native in the treatment arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Amer. Indian or Alaska Nat. | Control,"What is the number and percentage of patients identified as American Indian or Alaska Native in the control arm? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Other | Treatment,"What is the number and percentage of patients identified as 'Other' race in the treatment arm? If reported, include the count and percentage as stated (e.g., '7 (1.1%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Race - N (%),Race - N (%) | Other | Control,"What is the number and percentage of patients identified as 'Other' race in the control arm? If reported, include the count and percentage as stated (e.g., '2 (0.3%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Race - N (%),Race - N (%) | Unknown | Treatment,"What is the number and percentage of patients in the treatment arm who are categorized as 'Unknown' or 'Not reported' for race/ethnicity? If the paper reports a specific count and percentage for this category, include them as stated (e.g., '43 (6.6%)'). If only the count is reported, include the count. If only the percentage is reported, include the percentage. Use 'Not reported' if the paper does not provide a breakdown of race/ethnicity or does not list an 'Unknown' category.",numeric_tolerance
Race - N (%),Race - N (%) | Unknown | Control,"What is the number and percentage of patients in the control arm who are categorized as 'Unknown' or 'Not reported' for race/ethnicity? If the paper reports a specific count and percentage for this category, include them as stated (e.g., '46 (7.0%)'). If only the count is reported, include the count. If only the percentage is reported, include the percentage. Use 'Not reported' if the paper does not provide a breakdown of race/ethnicity or does not list an 'Unknown' category.",numeric_tolerance
Region - N (%),Region - N (%) | North America | Treatment,"What is the number and percentage of patients in the treatment arm who are from North America? If reported, include the count and percentage as stated (e.g., '125 (19.2%)'). Use 'Not reported' if the paper does not provide a specific count or percentage for North America in the treatment arm.",numeric_tolerance
Region - N (%),Region - N (%) | North America | Control,"What is the number and percentage of patients in the control arm who are from North America? If reported, include the count and percentage as stated (e.g., '119 (18.2%)'). Use 'Not reported' if the paper does not provide a specific count or percentage for North America in the control arm.",numeric_tolerance
Region - N (%),Region - N (%) | South America | Treatment,"What is the number and percentage of patients in the treatment arm who are from South America? If reported, include the count and percentage as stated. If the paper groups South America into a broader category (e.g., 'Rest of world' or 'Latin America'), report the value for that specific category if it is the only available data for the region, or 'Not reported' if no specific data for South America is given. Use 'Not reported' if the paper does not provide a specific count or percentage for South America in the treatment arm.",numeric_tolerance
Region - N (%),Region - N (%) | South America | Control,"What is the number and percentage of patients in the control arm who are from South America? If reported, include the count and percentage as stated. If the paper groups South America into a broader category (e.g., 'Rest of world' or 'Latin America'), report the value for that specific category if it is the only available data for the region, or 'Not reported' if no specific data for South America is given. Use 'Not reported' if the paper does not provide a specific count or percentage for South America in the control arm.",numeric_tolerance
Region - N (%),Region - N (%) | Europe | Treatment,"What is the number and percentage of patients in the treatment arm who are from Europe? If reported, include the count and percentage as stated. If the paper groups Europe into a broader category (e.g., 'Rest of world'), and no specific European data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Europe.",structured_text
Region - N (%),Region - N (%) | Europe | Control,"What is the number and percentage of patients in the control arm who are from Europe? If reported, include the count and percentage as stated. If the paper groups Europe into a broader category (e.g., 'Rest of world'), and no specific European data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Europe.",structured_text
Region - N (%),Region - N (%) | Africa | Treatment,"What is the number and percentage of patients in the treatment arm who are from Africa? If reported, include the count and percentage as stated. If the paper groups Africa into a broader category (e.g., 'Rest of world'), and no specific African data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Africa.",structured_text
Region - N (%),Region - N (%) | Africa | Control,"What is the number and percentage of patients in the control arm who are from Africa? If reported, include the count and percentage as stated. If the paper groups Africa into a broader category (e.g., 'Rest of world'), and no specific African data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Africa.",structured_text
Region - N (%),Region - N (%) | Asia | Treatment,"What is the number and percentage of patients in the treatment arm who are from Asia? If reported, include the count and percentage as stated. If the paper groups Asia into a broader category (e.g., 'Asia-Pacific'), report the value for that specific category. If the paper groups Asia into a broader category (e.g., 'Rest of world'), and no specific Asian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Asia.",structured_text
Region - N (%),Region - N (%) | Asia | Control,"What is the number and percentage of patients in the control arm who are from Asia? If reported, include the count and percentage as stated. If the paper groups Asia into a broader category (e.g., 'Asia-Pacific'), report the value for that specific category. If the paper groups Asia into a broader category (e.g., 'Rest of world'), and no specific Asian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Asia.",structured_text
Region - N (%),Region - N (%) | Oceania | Treatment,"What is the number and percentage of patients in the treatment arm who are from Oceania? If reported, include the count and percentage as stated. If the paper groups Oceania into a broader category (e.g., 'Rest of world'), and no specific Oceanian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Oceania.",structured_text
Region - N (%),Region - N (%) | Oceania | Control,"What is the number and percentage of patients in the control arm who are from Oceania? If reported, include the count and percentage as stated. If the paper groups Oceania into a broader category (e.g., 'Rest of world'), and no specific Oceanian data is available, write 'Included in [Category Name]' (e.g., 'Included in Rest of world'). Use 'Not reported' if the paper does not provide any regional breakdown that includes Oceania.",structured_text
PS - N (%),PS - N (%) | 0 | Treatment,"What is the number and percentage of patients in the treatment arm with an ECOG Performance Status (PS) of 0? If reported, include the count and percentage as stated (e.g., '466 (71.6%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
PS - N (%),PS - N (%) | 0 | Control,"What is the number and percentage of patients in the control arm with an ECOG Performance Status (PS) of 0? If reported, include the count and percentage as stated (e.g., '462 (70.6%)'). Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
PS - N (%),PS - N (%) | 1-2 | Treatment,"What is the number and percentage of patients in the treatment arm with an ECOG Performance Status (PS) of 1 or 2? If the paper reports PS 1 and PS 2 separately, sum the counts and percentages (or report the combined value if provided). If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
PS - N (%),PS - N (%) | 1-2 | Control,"What is the number and percentage of patients in the control arm with an ECOG Performance Status (PS) of 1 or 2? If the paper reports PS 1 and PS 2 separately, sum the counts and percentages (or report the combined value if provided). If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≤ 7 | Treatment,"What is the number and percentage of patients in the treatment arm with a Gleason score of 7 or lower (≤7)? If the paper reports categories such as '<8' or '≤7', use that value. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≤ 7 | Control,"What is the number and percentage of patients in the control arm with a Gleason score of 7 or lower (≤7)? If the paper reports categories such as '<8' or '≤7', use that value. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≥ 8 | Treatment,"What is the number and percentage of patients in the treatment arm with a Gleason score of 8 or higher (≥8)? If the paper reports categories such as '≥8' or '>7', use that value. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the treatment arm.",numeric_tolerance
Gleason score - N (%),Gleason score - N (%) | ≥ 8 | Control,"What is the number and percentage of patients in the control arm with a Gleason score of 8 or higher (≥8)? If the paper reports categories such as '≥8' or '>7', use that value. If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide this specific breakdown for the control arm.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Liver | Treatment,"What is the number and percentage of patients in the treatment arm who have liver metastases (or visceral metastases including liver, if liver-specific data is not separated) at baseline? If reported, include the count and percentage as stated (e.g., '111 (17.1%)'). Use 'Not reported' if the paper does not provide a specific count/percentage for liver metastases or if visceral metastases are reported as a combined category without a liver-specific breakdown and the owner has not specified to use the visceral total.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Liver | Control,"What is the number and percentage of patients in the control arm who have liver metastases (or visceral metastases including liver, if liver-specific data is not separated) at baseline? If reported, include the count and percentage as stated (e.g., '118 (18.0%)'). Use 'Not reported' if the paper does not provide a specific count/percentage for liver metastases or if visceral metastases are reported as a combined category without a liver-specific breakdown and the owner has not specified to use the visceral total.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Lungs | Treatment,"What is the number and percentage of patients in the treatment arm who have lung metastases at baseline? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide a specific count/percentage for lung metastases.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Lungs | Control,"What is the number and percentage of patients in the control arm who have lung metastases at baseline? If reported, include the count and percentage as stated. Use 'Not reported' if the paper does not provide a specific count/percentage for lung metastases.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Bone | Treatment,"What is the number and percentage of patients in the treatment arm who have bone metastases at baseline? If reported, include the count and percentage as stated (e.g., '517 (79.4%)'). Use 'Not reported' if the paper does not provide a specific count/percentage for bone metastases.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Bone | Control,"What is the number and percentage of patients in the control arm who have bone metastases at baseline? If reported, include the count and percentage as stated (e.g., '520 (79.5%)'). Use 'Not reported' if the paper does not provide a specific count/percentage for bone metastases.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Nodal | Treatment,"What is the number and percentage of patients in the treatment arm who have nodal metastases (specifically non-regional lymph-node metastases, M1a) at baseline? If reported, include the count and percentage as stated (e.g., '23 (3.5%)'). Use 'Not reported' if the paper does not provide a specific count/percentage for nodal metastases.",numeric_tolerance
Metastases - N (%),Metastases - N (%) | Nodal | Control,"What is the number and percentage of patients in the control arm who have nodal metastases (specifically non-regional lymph-node metastases, M1a) at baseline? If reported, include the count and percentage as stated (e.g., '16 (2.4%)'). Use 'Not reported' if the paper does not provide a specific count/percentage for nodal metastases.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Prostatectomy | Treatment,"What is the number and percentage of patients in the treatment arm who received previous prostatectomy as local therapy? If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the treatment arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Prostatectomy | Control,"What is the number and percentage of patients in the control arm who received previous prostatectomy as local therapy? If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the control arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Orchiectomy | Treatment,"What is the number and percentage of patients in the treatment arm who received previous orchiectomy as local therapy? If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the treatment arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Orchiectomy | Control,"What is the number and percentage of patients in the control arm who received previous orchiectomy as local therapy? If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the control arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Radiotherapy | Treatment,"What is the number and percentage of patients in the treatment arm who received previous radiotherapy as local therapy? If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the treatment arm.",numeric_tolerance
Previous local therapy - N (%),Previous local therapy - N (%) | Radiotherapy | Control,"What is the number and percentage of patients in the control arm who received previous radiotherapy as local therapy? If reported, include the count and percentage as stated (e.g., '100 (50%)'). Use 'Not reported' if the paper does not provide this specific count/percentage for the control arm.",numeric_tolerance
Primary Endpoint(s),Primary Endpoint(s),"What are the primary endpoint(s) of the trial? List the name(s) of the primary endpoint(s) as stated in the paper (e.g., 'Overall survival', 'Progression-free survival'). If multiple primary endpoints are listed, include all. Use 'Not reported' if the primary endpoint is not explicitly stated.",structured_text
Secondary Endpoint(s),Secondary Endpoint(s),"What are the secondary endpoint(s) of the trial? List the name(s) of the secondary endpoint(s) as stated in the paper (e.g., 'Time to CRPC', 'Safety'). If multiple secondary endpoints are listed, include all. Use 'Not reported' if the secondary endpoints are not explicitly stated.",structured_text
ORR - N (%),ORR - N (%) | Treatment | Overall,"What is the number and percentage of patients in the treatment arm who achieved an objective response (complete or partial response) according to the trial's response criteria? If reported, include the count and percentage as stated (e.g., '120 (45%)'). Use 'Not reported' if the overall response count/percentage for the treatment arm is not explicitly stated in the text or tables.",numeric_tolerance
ORR - N (%),ORR - N (%) | Treatment | CR,"What is the number and percentage of patients in the treatment arm who achieved a complete response (CR)? If reported, include the count and percentage as stated. Use 'Not reported' if the CR count/percentage for the treatment arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Treatment | SD,"What is the number and percentage of patients in the treatment arm who achieved stable disease (SD)? If reported, include the count and percentage as stated. Use 'Not reported' if the SD count/percentage for the treatment arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Treatment | PD,"What is the number and percentage of patients in the treatment arm who experienced progressive disease (PD)? If reported, include the count and percentage as stated. Use 'Not reported' if the PD count/percentage for the treatment arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Control | Overall,"What is the number and percentage of patients in the control arm who achieved an objective response (complete or partial response) according to the trial's response criteria? If reported, include the count and percentage as stated. Use 'Not reported' if the overall response count/percentage for the control arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Control | CR,"What is the number and percentage of patients in the control arm who achieved a complete response (CR)? If reported, include the count and percentage as stated. Use 'Not reported' if the CR count/percentage for the control arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Control | SD,"What is the number and percentage of patients in the control arm who achieved stable disease (SD)? If reported, include the count and percentage as stated. Use 'Not reported' if the SD count/percentage for the control arm is not explicitly stated.",numeric_tolerance
ORR - N (%),ORR - N (%) | Control | PD,"What is the number and percentage of patients in the control arm who experienced progressive disease (PD)? If reported, include the count and percentage as stated. Use 'Not reported' if the PD count/percentage for the control arm is not explicitly stated.",numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | All-Cause Grade 3 or Higher | Treatment,"What is the percentage of patients in the treatment arm who experienced any adverse event of grade 3 or higher (all-cause)? If reported, include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | All-Cause Grade 3 or Higher | Control,"What is the percentage of patients in the control arm who experienced any adverse event of grade 3 or higher (all-cause)? If reported, include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Treatment,"What is the percentage of patients in the treatment arm who experienced any treatment-related adverse event of grade 3 or higher? If reported, include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 3 or Higher | Control,"What is the percentage of patients in the control arm who experienced any treatment-related adverse event of grade 3 or higher? If reported, include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 5 | Treatment,"What is the count and percentage of patients in the treatment arm who experienced any treatment-related adverse event of grade 5? If reported, include the value as stated (e.g., '27 (4.1%)'). Use 'Not reported' if missing.",structured_text
Adverse Events - N (%),Adverse Events - N (%) | Treatment-related Grade 5 | Control,"What is the count and percentage of patients in the control arm who experienced any treatment-related adverse event of grade 5? If reported, include the value as stated (e.g., '26 (4.0%)'). Use 'Not reported' if missing.",structured_text
No. of Deaths - N,No. of Deaths - N | Treatment,"What is the number of patients who died in the treatment arm? If reported, include the count as stated. Use 'Not reported' if missing.",exact_match
No. of Deaths - N,No. of Deaths - N | Control,"What is the number of patients who died in the control arm? If reported, include the count as stated. Use 'Not reported' if missing.",exact_match
TTPSA (mo),TTPSA (mo) | Treatment,"What is the median time to PSA progression, in months, of patients in the treatment arm? If reported, include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
TTPSA (mo),TTPSA (mo) | Control,"What is the median time to PSA progression, in months, of patients in the control arm? If reported, include the value as stated. Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Overall | Treatment,"What is the overall survival rate, as a percentage, of patients in the treatment arm of the overall study population at the longest reported timepoint? If reported, include the value and the timepoint (e.g., '62.7% at 4 yr'). Use 'Not reported' if missing.",numeric_tolerance
OS Rate (%),OS Rate (%) | Overall | Control,"What is the overall survival rate, as a percentage, of patients in the control arm of the overall study population at the longest reported timepoint? If reported, include the value and the timepoint (e.g., '50.4% at 4 yr'). Use 'Not reported' if missing.",numeric_tolerance
